@relation WGN0331_data

@attribute TradingPeriod numeric
@attribute IsProxyPriceFlag numeric
@attribute Med$PerMWHr numeric
@attribute IntTime numeric
@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute Avg$PerMWHr numeric

@data
1,0,25.28,889,2022,11,1,27.29
2,0,10.89,2386,2022,11,1,19.132857
3,0,10.645,4337.5,2022,11,1,10.638333
4,0,10.32,6138,2022,11,1,9.465
5,0,0.99,7792,2022,11,1,3.281429
6,0,0.975,9729.5,2022,11,1,0.973333
7,0,0.03,11390,2022,11,1,0.03
8,0,0.03,13340,2022,11,1,0.03
9,0,0.03,15124,2022,11,1,0.03
10,0,0.475,16937.5,2022,11,1,0.478333
11,0,7.705,18724.5,2022,11,1,6.288333
12,0,7.165,20533,2022,11,1,5.915
13,0,10.71,22193,2022,11,1,30.795714
14,0,10.34,24006,2022,11,1,20.977143
15,0,10.17,25792,2022,11,1,29.224286
16,0,10.05,27622,2022,11,1,10.045714
17,0,9.99,29415,2022,11,1,9.984286
18,0,9.57,31231,2022,11,1,9.638571
19,0,0.47,32999,2022,11,1,3.054286
20,0,9.76,34808,2022,11,1,8.45
21,0,9.85,36608,2022,11,1,9.87
22,0,10.05,38531,2022,11,1,23.708571
23,0,9.875,40099,2022,11,1,9.831667
24,0,9.76,42001,2022,11,1,9.76
25,0,0.49,43816,2022,11,1,1.764286
26,0,0.47,45603,2022,11,1,0.471429
27,0,0.5,47394,2022,11,1,2.18
28,0,7.97,49213,2022,11,1,6.252857
29,0,0.5,51039,2022,11,1,2.27
30,0,9.23,52795,2022,11,1,9.172857
31,0,9.17,54616,2022,11,1,8.84
32,0,0.47,56414,2022,11,1,4.014286
33,0,0.46,58248,2022,11,1,3.954286
34,0,9.2,60051,2022,11,1,7.838571
35,0,0.45,61834,2022,11,1,1.397143
36,0,9.68,63610,2022,11,1,9.198571
37,0,9.51,65421,2022,11,1,8.555714
38,0,0.46,67206,2022,11,1,1.732857
39,0,0.02,69213,2022,11,1,0.02
40,0,0.02,70713,2022,11,1,0.02
41,0,0.02,72596,2022,11,1,0.021429
42,0,0.47,74396,2022,11,1,1.1
43,0,0.46,76188,2022,11,1,2.34
44,0,0.465,78129.5,2022,11,1,0.463333
45,0,0.25,79928,2022,11,1,1.02
46,0,0.245,81730.5,2022,11,1,0.996667
47,0,2.76,83535,2022,11,1,3.543333
48,0,9.315,85334,2022,11,1,6.656667
1,0,0.03,1183,2022,11,2,0.03
2,0,0.01,2409,2022,11,2,0.015714
3,0,0.01,4216,2022,11,2,0.01
4,0,0.01,6169,2022,11,2,0.01
5,0,0.01,7794,2022,11,2,0.01
6,0,0.01,9611,2022,11,2,0.012857
7,0,0.01,11386,2022,11,2,0.01
8,0,0.01,13506,2022,11,2,0.01
9,0,0.01,14563.5,2022,11,2,0.01
10,0,0.01,16797,2022,11,2,0.01
11,0,0.01,18719.5,2022,11,2,0.01
12,0,0.01,20533,2022,11,2,0.01
13,0,0.03,22226,2022,11,2,0.021429
14,0,0.03,24018,2022,11,2,0.028571
15,0,0.03,25817,2022,11,2,0.035714
16,0,0.03,27447,2022,11,2,0.033333
17,0,0.11,29405,2022,11,2,0.185714
18,0,0.115,31078,2022,11,2,0.22
19,0,0.11,32449,2022,11,2,0.146667
20,0,0.11,34817,2022,11,2,0.141429
21,0,0.11,36595,2022,11,2,0.104286
22,0,0.1,38410,2022,11,2,0.088571
23,0,9.065,40074.5,2022,11,2,6.42
24,0,9.24,42071,2022,11,2,9.22
25,0,9.24,43859,2022,11,2,8.181429
26,0,9.25,45617,2022,11,2,8.485714
27,0,9.25,47395,2022,11,2,8.247143
28,0,9.31,49226,2022,11,2,9.3
29,0,9.45,50994,2022,11,2,8.838571
30,0,9.5,52773,2022,11,2,9.908
31,0,39.22,54624,2022,11,2,29.49
32,0,71.595,56609.5,2022,11,2,65.391667
33,0,40.78,58214,2022,11,2,39.945714
34,0,39.9,59997,2022,11,2,36.164286
35,0,10.09,61644,2022,11,2,10.318333
36,0,9.98,63461,2022,11,2,15.185
37,0,9.95,65412,2022,11,2,9.897143
38,0,9.68,67187,2022,11,2,9.738571
39,0,9.525,68845.5,2022,11,2,8.095
40,0,9.37,70845,2022,11,2,8.115714
41,0,9.56,72599,2022,11,2,9.472857
42,0,9.81,74412,2022,11,2,17.754286
43,0,9.65,76227,2022,11,2,9.584286
44,0,4.78,78134.5,2022,11,2,4.905
45,0,9.67,79931.5,2022,11,2,8.125
46,0,9.56,81721.5,2022,11,2,9.563333
47,0,9.62,83522,2022,11,2,9.441667
48,0,0.235,85326,2022,11,2,0.235
1,0,5.225,1039.5,2022,11,3,5.11
2,0,0.02,2539.5,2022,11,3,0.02
3,0,0.02,4196.5,2022,11,3,0.02
4,0,0.02,5998,2022,11,3,0.018571
5,0,0.02,7972.5,2022,11,3,0.016667
6,0,0.01,9586,2022,11,3,0.011429
7,0,0.01,11550,2022,11,3,0.01
8,0,0.01,12743.5,2022,11,3,0.01
9,0,0.01,14698,2022,11,3,0.01
10,0,0.01,16805,2022,11,3,0.01
11,0,0.01,18725.5,2022,11,3,0.011667
12,0,0.02,20535.5,2022,11,3,0.016667
13,0,0.225,22333.5,2022,11,3,1.67
14,0,4.345,24143.5,2022,11,3,4.488333
15,0,9.2,25783,2022,11,3,8.158571
16,0,9.36,27582,2022,11,3,14.107143
17,0,78.22,29396,2022,11,3,66.69
18,0,9.44,31339.5,2022,11,3,32.253333
19,0,11.37,32993,2022,11,3,36.588571
20,0,9.085,33398.5,2022,11,3,9.085
21,0,9.17,36737.5,2022,11,3,9.156667
22,0,9.25,38541,2022,11,3,9.481667
23,0,22.625,40335.5,2022,11,3,23.105
24,0,35.415,41989,2022,11,3,35.415
25,0,8.43,43969.5,2022,11,3,12.935
26,0,34.75,45320,2022,11,3,26.226667
27,0,8.86,47379,2022,11,3,8.854286
28,0,8.83,49338.5,2022,11,3,8.853333
29,0,8.84,51133.5,2022,11,3,8.836667
30,0,8.765,52937.5,2022,11,3,8.735
31,0,8.785,54744,2022,11,3,8.776667
32,0,8.86,56079,2022,11,3,8.886667
33,0,8.89,57590,2022,11,3,8.89
34,0,22.41,59690,2022,11,3,22.82
35,0,9.155,61332.5,2022,11,3,9.155
36,0,9.18,64026.5,2022,11,3,9.195
37,0,9.17,65456,2022,11,3,9.088571
38,0,9.02,67217,2022,11,3,7.714286
39,0,4.91,69007,2022,11,3,4.292857
40,0,0.44,70662.5,2022,11,3,2.655
41,0,5.58,72600,2022,11,3,6.22
42,0,9.41,74398,2022,11,3,8.932857
43,0,9.24,76192,2022,11,3,8.691429
44,0,9.48,77991,2022,11,3,8.341429
45,0,0.46,79793,2022,11,3,2.838571
46,0,0.47,81597,2022,11,3,2.975714
47,0,9.39,83407,2022,11,3,10.352857
48,0,0.46,85344.5,2022,11,3,2.556667
1,0,0.02,908,2022,11,4,0.76
2,0,0.02,2590,2022,11,4,0.018333
3,0,0.01,4199,2022,11,4,0.01
4,0,0.01,5989,2022,11,4,0.01
5,0,0.01,7657.5,2022,11,4,0.01
6,0,0.01,9625,2022,11,4,0.01
7,0,0.01,11390,2022,11,4,0.01
8,0,0.01,12765,2022,11,4,0.01
9,0,0.01,15007,2022,11,4,0.01
10,0,0.01,16816,2022,11,4,0.01
11,0,0.01,18740,2022,11,4,0.01
12,0,0.02,20544,2022,11,4,0.093333
13,0,9.47,22188,2022,11,4,5.678571
14,0,4.88,23977,2022,11,4,5.554286
15,0,9.465,25925,2022,11,4,12.456667
16,0,9.35,27726,2022,11,4,9.48
17,0,9.155,29233.5,2022,11,4,9.1475
18,0,9.07,30587,2022,11,4,9.07
19,0,8.9,32690,2022,11,4,8.91
20,0,8.805,34941,2022,11,4,8.4875
21,0,8.7,36603,2022,11,4,7.148571
22,0,8.98,38396,2022,11,4,8.918571
23,0,8.915,40341.5,2022,11,4,8.88
24,0,8.95,42141,2022,11,4,8.688333
25,0,9.07,43779,2022,11,4,8.158571
26,0,6.18,45726.5,2022,11,4,5.745
27,0,8.955,47230,2022,11,4,8.9425
28,0,8.175,49333,2022,11,4,8.175
29,0,17.22,51284,2022,11,4,16.153333
30,0,13.21,52191,2022,11,4,13.21
31,0,8.84,54286,2022,11,4,8.843333
32,0,8.87,56689,2022,11,4,8.854
33,0,13.29,58206,2022,11,4,14.118571
34,0,17.99,60133,2022,11,4,17.95
35,0,18.08,61931.5,2022,11,4,18.155
36,0,9.17,63628,2022,11,4,8.875714
37,0,3.12,65394,2022,11,4,2.26
38,0,0.1,67351.5,2022,11,4,0.1
39,0,3.79,68990,2022,11,4,2.254286
40,0,0.12,70791,2022,11,4,1.155714
41,0,0.09,72588,2022,11,4,1.661429
42,0,9.07,74385,2022,11,4,8.317143
43,0,7.43,76194,2022,11,4,6.598571
44,0,3.84,77989,2022,11,4,4.365714
45,0,4.425,79963.5,2022,11,4,5.133333
46,0,4.18,81584,2022,11,4,5.28
47,0,4.15,83533.5,2022,11,4,5.111667
48,0,0.02,85192,2022,11,4,1.154286
1,0,2.07,1033,2022,11,5,2.071667
2,0,0.01,2544,2022,11,5,0.01
3,0,0.01,4192,2022,11,5,0.01
4,0,0.01,5989,2022,11,5,0.01
5,0,0.01,7777,2022,11,5,0.01
6,0,0.01,9572,2022,11,5,0.01
7,0,0.01,11371,2022,11,5,0.01
8,0,0.01,13324,2022,11,5,0.01
9,0,0.01,15135.5,2022,11,5,0.01
10,0,0.01,16943.5,2022,11,5,0.01
11,0,0.01,18732,2022,11,5,0.01
12,0,0.015,20535,2022,11,5,0.015
13,0,0.02,22493,2022,11,5,0.018
14,0,0.015,24176,2022,11,5,0.016667
15,0,0.025,25930.5,2022,11,5,0.025
16,0,0.03,27736,2022,11,5,0.831667
17,0,4.885,29538,2022,11,5,4.725
18,0,0.03,31333,2022,11,5,1.543333
19,0,0.03,33132.5,2022,11,5,1.638333
20,0,0.03,34787,2022,11,5,0.04
21,0,4.865,36718.5,2022,11,5,3.73
22,0,0.03,38530,2022,11,5,0.853333
23,0,9.635,40327,2022,11,5,9.616667
24,0,9.685,42119.5,2022,11,5,9.685
25,0,9.545,43926,2022,11,5,8.5
26,0,4.97,45571,2022,11,5,3.062
27,0,0.06,47387,2022,11,5,2.168571
28,0,0.03,49327.5,2022,11,5,0.043333
29,0,5.03,51138,2022,11,5,5.021667
30,0,5.04,52937,2022,11,5,5.111667
31,0,9.4,54732.5,2022,11,5,8.805
32,0,9.92,56536.5,2022,11,5,9.851667
33,0,10.935,58338.5,2022,11,5,12.511667
34,0,17.995,60120.5,2022,11,5,18.208333
35,0,21.055,61917,2022,11,5,20.683333
36,0,21.76,63571,2022,11,5,19.872857
37,0,17.56,65535,2022,11,5,17.53
38,0,10.57,67330.5,2022,11,5,10.541667
39,0,0.03,69147.5,2022,11,5,0.99
40,0,0.02,70929,2022,11,5,0.021667
41,0,5.41,72739.5,2022,11,5,5.098333
42,0,9.865,74539,2022,11,5,11.106667
43,0,2.69,76334,2022,11,5,2.83
44,0,10.005,78128.5,2022,11,5,9.99
45,0,17.8,79782,2022,11,5,16.841429
46,0,20.35,81730,2022,11,5,20.36
47,0,20.34,83084,2022,11,5,20.346667
48,0,20.17,85034.5,2022,11,5,19.6975
1,0,10.615,1030.5,2022,11,6,12.916667
2,0,8.755,2545,2022,11,6,8.405
3,0,5.05,4337,2022,11,6,5.805
